chunk_0000|Olá mili amigos hoje Vamos explorar algo muito especial e importante nossas emoções sabiam|Olá mili amigos hoje Vamos explorar algo muito especial e importante nossas emoções sabiam
chunk_0001|Cada um de Nós tem um jardim de Emoções dentro de si Vamos aprender juntos Como reconhecer e cuidar das nossas emoções|Cada um de Nós tem um jardim de Emoções dentro de si Vamos aprender juntos Como reconhecer e cuidar das nossas emoções
chunk_0002|Esta é a flor da Alegria ela é brilhante vermelha quando estamos felizes é como se essa flor estivesse florescendo|Esta é a flor da Alegria ela é brilhante vermelha quando estamos felizes é como se essa flor estivesse florescendo
chunk_0003|dentro de nós e essa é a flor azul que representa a tristeza todos nós ficamos tristes às vezes mas está tudo bem|dentro de nós e essa é a flor azul que representa a tristeza todos nós ficamos tristes às vezes mas está tudo bem
chunk_0004|é como uma chuva que rega o nosso jardim vamos ver o que mais temos aqui, ah!, a flor amarela|é como uma chuva que rega o nosso jardim vamos ver o que mais temos aqui, ah!, a flor amarela de surpre
chunk_0005|surpresas podem ser divertidas e emocionantes não é mesmo essa flor verde é a calma|surpresas podem ser divertidas e emocionantes não é mesmo essa flor verde é a calma
chunk_0006|quando estamos calmos podemos pensar com clareza e desfrutar de um momento de paz quando estamos com soninho por exemplo|quando estamos calmos podemos pensar com clareza e desfrutar de um momento de paz quando estamos com soninho por exemplo
chunk_0007|e não podemos nos esquecer da flor roxa de frustração Às vezes as coisas não saem como queríamos mas aprender|e não podemos nos esquecer da flor roxa de frustração Às vezes as coisas não saem como queríamos mas aprender
chunk_0008|para cuidar Dessa flor nos ajuda a crescer e ser mais fortes, devemos sempre que compartilhar as nossas emoções|para cuidar Dessa flor nos ajuda a crescer e ser mais fortes devemos sempre que compartilhar as nossas emoções
chunk_0009|um adulto para que Ele nos ajude como devemos cuidar melhor do nosso jardim explorar o Jardim das emoções nos ajuda a entender|um adulto para que Ele nos ajude como devemos cuidar melhor do nosso jardim explorar o Jardim das emoções nos ajuda a entender
chunk_0010|melhor sobre nós mesmos e os outros espero que vocês tenham gostado de aprender sobre as emoções hoje até a próxima milho amigos|melhor sobre nós mesmos e os outros espero que vocês tenham gostado de aprender sobre as emoções hoje até a próxima milho amigos
chunk_0011|continue cuidando do seu jardim interior e compartilhando suas emoções de maneira positiva agora vamos ouvir a musiquinha alecrim dourado|continue cuidando do seu jardim interior e compartilhando suas emoções de maneira positiva agora vamos ouvir a musiquinha alecrim dourado
chunk_0012|mili beijos! |mili beijos!
chunk_0013|Olá mili amigos hoje Vamos explorar algo muito especial e importante nossas emoções sabiam|Olá mili amigos hoje Vamos explorar algo muito especial e importante nossas emoções sabiam
chunk_0014|Cada um de Nós tem um jardim de Emoções dentro de si Vamos aprender juntos Como reconhecer e cuidar das nossas emoções|Cada um de Nós tem um jardim de Emoções dentro de si Vamos aprender juntos Como reconhecer e cuidar das nossas emoções
chunk_0015|Esta é a flor da Alegria ela é brilhante vermelha quando estamos felizes é como se essa flor estivesse florescendo|Esta é a flor da Alegria ela é brilhante vermelha quando estamos felizes é como se essa flor estivesse florescendo
chunk_0016|dentro de nós e essa é a flor azul que representa a tristeza todos nós ficamos tristes às vezes mas está tudo bem|dentro de nós e essa é a flor azul que representa a tristeza todos nós ficamos tristes às vezes mas está tudo bem
chunk_0017|é como uma chuva que rega o nosso jardim vamos ver o que mais temos aqui, ah!, a flor amarela|é como uma chuva que rega o nosso jardim vamos ver o que mais temos aqui, ah!, a flor amarela de surpre
chunk_0018|surpresas podem ser divertidas e emocionantes não é mesmo essa flor verde é a calma|surpresas podem ser divertidas e emocionantes não é mesmo essa flor verde é a calma
chunk_0019|quando estamos calmos podemos pensar com clareza e desfrutar de um momento de paz quando estamos com soninho por exemplo|quando estamos calmos podemos pensar com clareza e desfrutar de um momento de paz quando estamos com soninho por exemplo
chunk_0020|e não podemos nos esquecer da flor roxa de frustração Às vezes as coisas não saem como queríamos mas aprender|e não podemos nos esquecer da flor roxa de frustração Às vezes as coisas não saem como queríamos mas aprender
chunk_0021|para cuidar Dessa flor nos ajuda a crescer e ser mais fortes, devemos sempre que compartilhar as nossas emoções|para cuidar Dessa flor nos ajuda a crescer e ser mais fortes devemos sempre que compartilhar as nossas emoções
chunk_0022|um adulto para que Ele nos ajude como devemos cuidar melhor do nosso jardim explorar o Jardim das emoções nos ajuda a entender|um adulto para que Ele nos ajude como devemos cuidar melhor do nosso jardim explorar o Jardim das emoções nos ajuda a entender
chunk_0023|melhor sobre nós mesmos e os outros espero que vocês tenham gostado de aprender sobre as emoções hoje até a próxima milho amigos|melhor sobre nós mesmos e os outros espero que vocês tenham gostado de aprender sobre as emoções hoje até a próxima milho amigos
chunk_0024|continue cuidando do seu jardim interior e compartilhando suas emoções de maneira positiva agora vamos ouvir a musiquinha alecrim dourado|continue cuidando do seu jardim interior e compartilhando suas emoções de maneira positiva agora vamos ouvir a musiquinha alecrim dourado
chunk_0025|mili beijos! |mili beijos!
